Sample Site,Date,Temperature (C),Humidity (%),Conductivity,pH,N (mg),P (mg),K (mg),Elevation (m),Ground
17,7.13.24,22.50,31.75,58.00,6.64,3.50,5.25,11.00,80,heath
37,7.13.24,20.90,44.25,101.75,6.69,7.00,10.00,20.25,80,lupin
24,7.14.24,17.63,24.00,20.25,5.92,0.75,1.75,3.50,99,heath
25,7.14.24,23.95,26.00,19.75,6.31,1.00,1.50,3.50,104,some lupin
21,7.14.24,19.28,32.00,22.50,6.48,1.25,1.50,4.25,108,lupin
26,7.14.24,20.50,59.50,26.00,6.21,1.50,2.00,4.75,119,heath
22,7.14.24,22.05,41.75,32.75,6.38,1.75,2.75,6.00,120,some lupin
10,7.15.24,19.48,17.00,3.00,6.58,0.00,0.25,0.50,162,lupin
29,7.15.24,19.93,18.50,1.50,6.58,0.00,0.00,0.25,172,lupin
11,7.13.24,22.55,14.75,0.00,6.60,0.00,0.00,0.00,213,lupin
12,7.13.24,20.83,21.00,2.25,6.43,0.00,0.00,0.25,251,some lupin
15,7.13.24,19.93,26.25,5.00,6.29,0.00,0.25,0.50,252,some lupin
13,7.13.24,17.38,70.75,82.25,6.61,5.25,7.50,16.25,255,heath
9,7.15.24,19.10,23.25,14.50,6.28,0.75,1.00,2.75,268,some lupin
8,7.15.24,19.03,21.00,1.50,6.41,0.00,0.00,0.25,293,high heath
7,7.15.24,19.43,100.00,19.50,6.32,1.00,1.50,3.75,320,high heath
5,7.15.24,22.43,24.25,4.50,6.43,0.25,0.25,0.75,346,high heath
3,7.15.24,20.25,31.25,9.75,6.35,0.25,0.75,1.75,378,high heath
1,7.15.24,18.70,35.25,12.25,6.40,0.75,1.00,2.25,426,high heath